term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
aback,1.0500000000332113,0.050000000531626475,0.05,0.05,1.0500000000733936,0.05000003232257689,0.05,3.7106817177442326,0.05000000026898325,0.05000000040366403,0.2705756131849102,0.05,0.05000000039125017,2.1801974982715806,10.4742100348717,0.05000000014502193,0.05,0.05,0.7988089012575775,4.865526200468242
abilities,1.050000000021426,0.05,1.0500000000479963,0.05,0.05,0.05,0.05,1.5895307303535444,0.05,0.05,0.05,0.05,2.510469269556805,0.05,0.050000000005936684,0.05,0.05,0.05,0.05,0.05
ability,2.1596185769897684,0.05000000005913632,0.050000000163266396,0.05,0.05,0.05000000007203501,0.05,5.377663181153524,0.05000000021153284,0.050000000179416706,0.050000000176063535,0.05,5.980326537486843,0.05000000070387364,3.4726147833349446,0.050000000254228384,1.0500000000038612,0.05,0.05,5.2597769191822845
abou,3.7169084848161855,1.3369305541948082,0.05,0.05,0.05,0.05000000035328293,0.05,0.05005886061696054,0.05,0.05000000091614237,0.05000000024838502,0.05,0.05000000014730735,0.23203846012217988,9.146279488659625,1.2933761548941036,1.8776017335598238,0.05,0.050000000037199316,0.7468062614074998
absence,0.05000000005443929,1.1234012009260954,1.0649916317207981,0.05,0.05,0.05000000053324729,0.05,6.700838863239554,0.05000000004010879,0.050235920331483365,2.2402753998089646,0.05,5.540622412440354,0.050000000129274844,14.575249064174482,0.05000000573196353,0.050000000453290526,0.05000000022166521,0.05000000002671835,1.1043855001332779
access,0.05000000004868661,0.05,0.05000000228323535,0.05,0.05,0.05000010604489367,0.05,3.9563206536564803,0.05,0.05,0.05,0.05,0.05000000080760625,0.05,2.86066767097713,0.05,0.05,0.050000000255363795,0.05,3.3330115658987873
accident,2.157609866599513,0.8303817691244882,1.0500000000815963,0.05,0.05,0.05000000338761293,0.05,12.941842285688749,0.050000000170799475,5.36734732813854,1.080728649298732,0.05,0.050000000436822116,0.05,5.0251810721005254,0.05,0.9720994284378924,0.05,0.05,7.0248095965013455
accidents,1.4541479150579506,1.1856133362001304,0.05,0.05,0.05,0.05001378733376708,0.05,5.672250622006794,1.0500000000727177,2.931753665276222,0.05000000055362542,0.05,0.05000000239487747,0.6192980846765419,1.6900471563195187,0.05000000034441192,0.05000000062108117,0.45599989073116254,0.050000000050272005,1.3908755383223277
accord,0.050000000121089114,0.05,0.05,0.05,0.05,0.05,0.05,2.3036546789341883,0.05,0.05,2.4377333701546573,0.05,0.05000000085350275,0.05,3.21860854637026,0.05,0.05000045183763759,0.05000000012221397,1.0500488174134899,1.2399541341586635
account,0.05000000017251606,0.05,1.0069732562611426,0.05,0.05,0.05,0.05,7.774729803317707,0.05,0.05000000006266498,0.907295540542163,0.05,2.3650527652692483,0.05000000019930613,9.76449664604533,0.05,0.050000000031934916,0.05,0.05,1.4814519880662544
