term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
touch,0.007412685423073724,-0.01899744066335004,0.005807717997331303,-0.015330278395021124,-0.008304512675831224,-0.004501307641893244,-0.022703071078761367,-0.020448777994836322,0.01575096141463416,0.002298452559305718
sideways,0.018390466799643485,-0.022354563990012788,0.02960140456997061,0.017125595971511753,0.02929589198526871,0.0035034540958222074,0.015597121893149601,0.0028980952196390464,-0.002119404160146582,-0.015515748184919628
pressed,0.017051598709236504,-0.012288542542316705,-0.006049257786402196,-0.00029273050211472973,0.009631459119735092,0.0030010167741929827,-0.012555496365267357,0.0035353289165412777,-0.001771404060616745,-0.0061589828337383044
step,0.015690745025084385,-0.011394500683258119,0.01125347424323972,-0.001936152073819336,0.04256006726852404,0.010718581461683474,0.00042067366921338945,0.005142422035213645,-0.04775520616895598,0.05305280439801425
class,-0.13254922856817575,0.20797835643194595,0.052954945967495004,-0.14741430110277903,0.17755497921468347,-0.18553664649198826,0.13522899905206653,0.21164021510813635,0.01601493323539094,0.019885433785888473
bottle,-0.006037568499750179,0.026007867733306822,-0.02042940471263939,-0.046733490772636166,-0.03216259702175925,-0.015682237705475527,0.007581262135889555,-0.0030452563242345243,0.007326285163381879,0.00351843290690918
fallen,0.00961868653971834,-0.02545696163959768,0.029961729693035788,-0.005952239163774187,0.00415006323238562,-0.013787352290451853,-0.011698257840385168,0.009441862050888525,0.0053991363421101585,-0.0018552205130437475
recognized,0.018045421019452192,-0.008419765337296492,-0.00904615230078043,0.005481621506765955,-0.003776895495562968,-0.0071874146335927785,-0.0159936251600844,-0.06127261565819697,-0.009642078349598154,-0.032554360128711046
send,-0.007775254450418085,-0.004984003090826965,-0.02770682516682077,0.020096170662429386,-0.0063640339932165,0.014470890640627274,0.011979750823789881,0.016473995855669214,-0.019978802339110376,-0.0038339442861729245
hoping,-0.002113931950540178,0.015576077341557585,-0.011387266425303189,-0.008879037714116245,-0.0014913728500538584,-0.004628694033304022,0.005290635409076816,-0.022632327485359094,-0.024896429693062883,0.0064829647959287135
perfectly,0.007361823599511958,0.016197423426446568,-0.024413125212044945,-0.009868873674153344,-0.014891526713438796,-0.022973379214346307,-0.030180883820293658,0.0022025646677627173,-0.009158102187165174,-0.006098520213959263
join,-0.0001823924370696663,0.014779112265589246,-0.00882891902690025,-0.00516535114904193,0.025763542385695448,-0.014772343010681643,-0.03138105106497146,-0.03512738484422284,-0.0005190832184242267,-0.0005289604227363184
distant,0.004642497040543943,-0.004390966551524083,0.027121107399769414,-0.0036917025491981365,0.017301243684803902,-0.009756221860184197,-0.01395463160495325,-0.009627866241241068,-0.009055898923276733,-0.017826499255378568
purple,0.007217698669559277,0.01180338351489076,-0.02510547007736298,0.025370740532596164,-0.003257293247980242,0.010643617488465762,0.0293203595746227,-0.005691182787134971,-0.013136593846794609,-0.00022881190092069112
information,0.03140247235065756,-0.0067603214298655005,-0.019820412215451035,-0.039006958448041154,-0.014147283309261738,-0.025137538852889163,-0.0757407715043718,-0.004216419591080656,0.024652652700501015,-0.0027632720512758002
definitely,-0.003054556759991127,0.020635800762672202,-0.01882669903625385,-0.024048625666359284,0.0023660252770180967,-0.00540164008364713,-0.014720096632296162,-0.010464437175849245,-0.00240787101943718,-0.016688314446736952
forest,-0.06529003698511701,-0.12601514336918124,0.11525704176836059,-0.046082897792279975,0.06629147980232838,-0.06334109473617244,0.00259613451195409,0.08261648978330566,0.08171797909057579,-0.27447399388275473
living,0.04987443363120013,-0.021254038242241036,-0.06285298293474853,0.008596179487653111,-0.04195681815255718,-0.023849886160168088,0.003383519925473366,0.034698830376023115,0.008957350779919993,-0.008203933667229647
hanging,0.0054441095716632635,0.0010554852079484578,0.012897778123712813,0.007719876063975732,0.02330083623309777,0.021045055074415953,0.036492211849128986,0.007647123288788749,-0.0017294100783347421,0.00780058058393697
placed,0.019821151748529383,-0.01082112557971582,-0.001278332192899005,-0.019821040133703335,0.03703531594900972,-0.008363369047066568,-0.039877590667543705,0.0009504726042019185,-0.012665984607919872,0.003047194649391259
deal,0.00011600444196442931,0.02492083812325801,-0.003587390957540184,-0.016690133152797836,-0.011361785445341669,-0.004409142455390414,-0.017941763281925226,-0.005815309527628099,-0.004470925908736489,-0.038553149560358366
dunno,-0.021543551679553498,0.006514590460771955,-0.014590716320165021,-0.0058221473959388596,0.012342621220629067,-0.021898061636039044,-0.022938852020455067,-0.03172839770647368,0.003896022133806243,0.008607112750736737
heavily,-0.012983739087916266,0.0015842069983610385,-0.013212592239641998,-0.015257284492702285,0.015206189825697559,-0.021866996215111296,-0.0222385132726486,0.014859523085679643,0.015710520240097836,0.002940407532784595
whisper,0.00010580584611932607,0.005176091262953381,-0.0015493867093006291,-0.010188632790969689,0.0168930804702541,-0.004621626570598713,-0.0027627189610403714,-0.0027416471851111346,0.015510331165088709,0.0001994529066736972
control,0.0210664160161525,-0.004100548181015985,-0.0036889260248806227,0.005938019469415546,0.002827530352348847,-0.008565322778302317,-0.019205811523589765,0.011938032489909794,-0.008271135131217133,-0.027993952293832378
screamed,0.03967144021343793,-0.045088577015497434,0.06427015977545897,0.030269816311420755,0.005060738331700028,-0.016633621480564107,0.018743524059569174,0.0010881135868009012,-0.026967996814769107,0.001828066309449733
particularly,-0.009513918542918595,0.037905000521701517,0.0016578958441362261,-0.008868345379639488,0.0034241592190705507,-0.010663615240168157,-0.01977647429065646,-0.01917203702732853,0.0054664170526285,-0.005294884985302284
asking,-0.009030317458947784,0.0019001552205835763,-0.01366872043948963,-0.010110264279039962,-0.007763362664111565,0.0031893379323708923,0.0018270511800361898,0.0031027070493463505,0.018039658949790194,0.0019878078102666653
somehow,-0.0007916400959279452,0.0002298540368355352,-0.00771673218865672,-0.0077164630541886456,-0.004701613623055596,0.008644139363763874,-0.005854992245508237,-0.01691276332608637,-0.015114178024714351,0.0044742275800419146
terrified,0.013486583971266007,-0.03015483072026831,0.01860514021240508,0.0036609018665332217,0.003992345602481214,-0.003141800741358682,0.0067861738546650665,-0.009485397724857209,-0.016971724580003195,-0.043932856390154415
powerful,0.02500465443571287,-0.0257945463006488,-0.0010064911570206593,-0.043858819331004426,-0.012729105577495839,-0.0038687141416294014,-0.0209012490893493,-0.019871288806469677,0.028888060880925655,0.008989943843205518
impatiently,-0.0045898592425248665,0.01551685974643794,-0.014452036022767085,-0.012361605925624892,0.0190249877230558,0.004273141234840439,-0.000751998961840859,0.022259826170800915,0.0011431190428439573,-0.03182213144835607
letter,-0.0030533521760637834,0.04424747559755477,-0.16953712699777165,0.04416741024116094,-0.08569689704422924,-0.06371102308767508,0.09212331549544216,0.23218082673711818,-0.001463840066223884,-0.006587919230900616
realize,0.020178972186941747,0.0007689381707059652,0.006132159267164581,-0.005895821052295082,-0.009139264041928385,-0.01589575828503907,-0.01242153734433452,-0.019248661665489428,-7.8662933432168e-05,0.017825189752052766
easy,-0.007734876053430546,-0.013498346204364367,0.00967907052183509,-0.006651716058635349,-0.005550530369615121,-0.02502988409202633,0.01383994086434198,-0.011216752561618547,0.019562858710130162,0.0036585144012609774
hung,0.0012817756172436075,0.0035678405258432674,0.008532142497905005,-0.005279037400441239,-0.002205381244093833,-0.002790724149321311,-0.007216866429016708,-0.008835597703014526,-0.0015570268342049633,0.011985084223994441
twice,-0.009536454140213084,0.006544664859954922,0.00998454128705792,-0.001181691167544854,0.0009232773072683865,0.005879146922681441,-0.020696896011188085,0.0003949716716866739,-0.009411588147337377,-0.007625691514474944
fall,0.013703948278777292,-0.008217230800858441,0.012907512504651844,0.007261787568400085,-0.0031489117150857032,-0.003902010680143435,0.015184040166707803,-0.00445994374534284,-0.02300720893148905,-0.0004165761994997033
busy,0.0013098339581646956,0.02005148201598563,-0.02649217799968454,0.011518546833700096,-0.007162009605204772,-0.00015672841725462107,-0.00031850813553558596,-0.027562571481830587,0.0014591112775469478,-0.011409517255328072
normal,0.00943363865195588,0.013148805446419174,-0.05075832649523137,0.02033370339735418,-0.014842183564621655,0.000695640397438987,0.009363510407663516,0.02200449506728648,0.008713319105869213,-0.004868942009698183
sank,-0.009604000045932341,0.0074717975475617005,0.022272660138046213,0.0006646630219063962,0.008905542397594389,-0.00408001943657175,0.0028624422751676155,0.014133608722051213,-0.022750181857606192,0.01518412951722981
mention,0.00512112412172865,0.01821174300325834,-0.03413020994675902,-0.011483348270362587,-0.012550550281733134,-0.020048144390887753,-0.005341211343842165,-0.03178986676315188,-0.0047987997505297905,-0.002564360877769116
dare,0.008309286372059,-0.034594047997016146,0.012639201440476967,0.003303884880796496,-0.012774283443546619,-0.019592047652384495,-0.0116386287789734,0.00223656182689638,-0.015858458643025583,0.018971350905974876
forget,-0.007259648606146492,0.0065277351419159345,-0.0012608951222419199,0.016013117442783276,-0.022610537900856074,-0.00012821726083412824,-0.02431297998117432,-0.01850822939506525,0.015837424370355464,0.02042379055110422
